index,question,sentence
3208,The Asante and Lunda Empires were in which region?,"Imperialism was a basic component to the conquests of Genghis Khan during the Mongol Empire, and of other war-lords."
492,What is another term for x-ray imaging?,"In March 1896, after hearing of Wilhelm Röntgen's discovery of X-ray and X-ray imaging (radiography), Tesla proceeded to do his own experiments in X-ray imaging, developing a high energy single terminal vacuum tube of his own design that had no target electrode and that worked from the output of the Tesla Coil (the modern term for the phenomenon produced by this device is bremsstrahlung or braking radiation)."
2887,Where is St Aloysius' College located?,Many of the 'grammar schools' also fall in this category.
3915,What event was the worst example of Huguenot persecution?,"The height of this persecution was the St. Bartholomew's Day massacre when 5,000 to 30,000 were killed, although there were also underlying political reasons for this as well, as some of the Huguenots were nobles trying to establish separate centers of power in southern France."
3449,WHat does UserDatagram Protocol gaurentee,"In the virtual call system, the network guarantees sequenced delivery of data to the host."
2401,What is composed of the Area Provost/Dean ad the several District Superintendents of the Districts in the Annual Conference?,"All clergy appointments are made and fixed annually by the resident bishop on the advice of the Annual Conference Cabinet, which is composed of the Area Provost/Dean (if one is appointed) and the several District Superintendents of the Districts of the Annual Conference."
247,What exchange in Warsaw is one of the most important for Central and Eastern Europe?,The Warsaw Stock Exchange is one of the largest and most important in Central and Eastern Europe.
3217,What stadium did Super Bowl 50 take place in?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50."
3503,"What ""war"" was Tesla involved in?",Tesla gained experience in telephony and electrical engineering before emigrating to the United States in 1884 to work for Thomas Edison in New York City.
651,In what year did John and Charles Wesley come to America to teach the gospel?,John Wesley returned to England and met with a group of clergy he respected.
3986,What type of space in Warsaw are the Botanic Garden and University Library garden?,"They have extensive botanical collection of rare domestic and foreign plants, while a palm house in the New Orangery displays plants of subtropics from all over the world."
1697,What is the Rankine cycle sometimes called?,In this cycle a pump is used to pressurize the working fluid which is received from the condenser as a liquid not as a gas.
4271,What president eliminated the Christian position in the curriculum?,"Charles W. Eliot, president 1869–1909, eliminated the favored position of Christianity from the curriculum while opening it to student self-direction."
3908,Where did Tesla begin a new job at in 1882?,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment."
2861,Who is usually working together?,"Once these have been hired, they begin building the first phase of the project."
2633,How would one describe the summers in Fresno?,"Fresno is marked by a semi-arid climate (Köppen BSh), with mild, moist winters and hot and dry summers, thus displaying Mediterranean characteristics."
2129,How did Luther describe the University of Erfurt?,"In 1501, at the age of 19, he entered the University of Erfurt, which he later described as a beerhouse and whorehouse."
2427,In what year did developers Billings & Meyering acquire the Alta Vista Tract?,"The Alta Vista Tract, as the land would become known, was mapped by William Stranahan for the Pacific Improvement Corporation, and was officially platted in 1911."
5447,The UMC believes that Jesus repudiated the les talionis in what BIble verses?,The United Methodist Church also believes that Jesus explicitly repudiated the lex talionis in Matthew 5:38-39 and abolished the death penalty in John 8:7.
354,Where did Apollo 1's crew conduct tests at Kennedy Space Center?,"They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center."
3269,Deacons serve a term of how many years as provisional deacons?,"Deacons assist elders in the sacraments of Holy Communion and Baptism, and may be granted sacramental authority if they are appointed as the pastor in a local church."
567,On what river does Warsaw stand?,"It stands on the Vistula River in east-central Poland, roughly 260 kilometres (160 mi) from the Baltic Sea and 300 kilometres (190 mi) from the Carpathian Mountains."
2026,How many receptors on a helper T cell must be bound to a MHC:antigen complex in order for the cell to be activated?,"Helper T cells have a weaker association with the MHC:antigen complex than observed for killer T cells, meaning many receptors (around 200–300) on the helper T cell must be bound by an MHC:antigen in order to activate the helper cell, while killer T cells can be activated by engagement of a single MHC:antigen molecule."
300,What has Islamism been increasingly interdependent with following the Arab Spring?,"Olivier Roy argues that ""Sunni pan-Islamism underwent a remarkable shift in the second half of the 20th century"" when the Muslim Brotherhood movement and its focus on Islamisation of pan-Arabism was eclipsed by the Salafi movement with its emphasis on ""sharia rather than the building of Islamic institutions,"" and rejection of Shia Islam."
1854,"Compared to Smeaton's improvement on Newcomen's engine, how much coal did Watt's engine use?",Boulton and Watt's early engines used half as much coal as John Smeaton's improved version of Newcomen's.
2243,Which French composer wrote ametrical music using prime numbers?,"The French composer Olivier Messiaen used prime numbers to create ametrical music through ""natural phenomena""."
3275,How did the project encourage the commercialisation of legumes?,"The commercialisation of the pigeon pea is now enabling some farmers to buy assets, ranging from mobile phones to productive land and livestock, and is opening pathways for them to move out of poverty."
2307,How many Catholic schools were in Victoria?,"Just under 540,800 students were enrolled in public schools, and just over 311,800 in private schools."
820,How did Genghis Khan observed the surrender terms after Samarkand fell?,"After the fortress fell, Genghis supposedly reneged on his surrender terms and executed every soldier that had taken arms against him at Samarkand."
3751,What would a community member need to teach informally?,"Informal learning may be assisted by a teacher occupying a transient or ongoing role, such as a family member, or by anyone with knowledge or skills in the wider community setting."
2817,What is the name of the village that once existed in what is now downtown Jacksonville?,"At the time of contact with Europeans, all Mocama villages in present-day Jacksonville were part of the powerful chiefdom known as the Saturiwa, centered around the mouth of the St. Johns River."
4827,What did the development of this fertile soil provide in hostile environment?,"The development of this fertile soil allowed agriculture and silviculture in the previously hostile environment; meaning that large portions of the Amazon rainforest are probably the result of centuries of human management, rather than naturally occurring as has previously been supposed."
1503,What group started peace meetings?,"Since the election riots, the government and civil society organisations started programmes to avoid similar disasters in the future, said Agnes R. M. Aboum – executive director of TAABCO Research and Development Consultants in Nairobi – in the magazine D+C Development and Cooperation."
1004,What did the network install in 1999,The Very high-speed Backbone Network Service (vBNS) came on line in April 1995 as part of a National Science Foundation (NSF) sponsored project to provide high-speed interconnection between NSF-sponsored supercomputing centers and select access points in the United States.
4623,What type of bat that lives in the Amazon rainforest can spread rabies?,The rainforest contains several species that can pose a hazard.
3723,What is the name of the desert near the border of Nevada?,To the south is the Mexico–United States border.
3757,Who were the Westwood One sideline announcers?,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline reporters."
3519,How many settlers original settled in Manakintown?,"Of the original 390 settlers in the isolated settlement, many had died; others lived outside town on farms in the English style; and others moved to different areas."
1155,What did Davies call the System,A member of Davies' team (Roger Scantlebury) met Lawrence Roberts at the 1967 ACM Symposium on Operating System Principles and suggested it for use in the ARPANET.
643,What influence did Al Banna wish to eliminate from the Muslim world?,"Like Maududi, Al Banna believed in the necessity of government rule based on Shariah law implemented gradually and by persuasion, and of eliminating all imperialist influence in the Muslim world."
3703,What is the type of oxygen production for emergency oxygen in airlines?,"Pulling on the masks ""to start the flow of oxygen"" as cabin safety instructions dictate, forces iron filings into the sodium chlorate inside the canister."
1114,How are green chloroplasts' Plastoglobuli arranged?,"In old or stressed chloroplasts, plastoglobuli tend to occur in linked groups or chains, still always anchored to a thylakoid."
5079,What shape are some of the buildings in the Parliament complex?,"Throughout the building there are many repeated motifs, such as shapes based on Raeburn's Skating Minister."
3804,When did the KMJ-TV first broadcast?,"To avoid interference with existing VHF television stations in the San Francisco Bay Area and those planned for Chico, Sacramento, Salinas, and Stockton, the Federal Communications Commission decided that Fresno would only have UHF television stations."
1456,What type of professionals are pharmacists?,Pharmacists are healthcare professionals with specialised education and training who perform various roles to ensure optimal health outcomes for their patients through the quality use of medicines.
914,Which town's massacre did Genghis Khan order in retribution for the treatment of his envoys?,"Genghis Khan ordered the wholesale massacre of many of the civilians, enslaved the rest of the population and executed Inalchuq by pouring molten silver into his ears and eyes, as retribution for his actions."
337,What nationality was Konstantin Mereschkowski?,This origin of chloroplasts was first suggested by the Russian biologist Konstantin Mereschkowski in 1905 after Andreas Schimper observed in 1883 that chloroplasts closely resemble cyanobacteria.
4957,How much does the services sector contribute to GDP?,Tourism has seen a substantial revival over the past several years and is the major contributor to the pick-up in the country's economic growth.
5255,Which state has the largest number of members?,"Texas has the largest number of members, with about 1 million."
1656,Where is English spoken the most?,British English is primarily used in the country.
1917,What country has low income inequality and high presence of unions?,"He points out that nations with high rates of unionization, particularly in Scandinavia, have very low levels of inequality, and concludes ""the historical pattern is clear; the cross-national pattern is clear: high inequality goes hand-in-hand with weak labor movements and vice-versa."""
3814,What network was designed by the french,The CYCLADES packet switching network was a French research network designed and directed by Louis Pouzin.
2958,What will have a direct impact of inequality in a system that uses a progressive tax?,Another cause is the rate at which income is taxed coupled with the progressivity of the tax system.
2657,What are the agents the immune system detects known as?,The immune system is a system of many biological structures and processes within an organism that protects against disease.
4785,What was the idealized value of imperialism?,"Lenin in particular exerted substantial influence over later Marxist conceptions of imperialism with his work Imperialism, the Highest Stage of Capitalism."
1059,What type of studies explored student motivation?,"Controlled, experimental studies exploring intrinsic motivation of college students has shown that nonverbal expressions of enthusiasm, such as demonstrative gesturing, dramatic movements which are varied, and emotional facial expressions, result in college students reporting higher levels of intrinsic motivation to learn."
4401,What is a connection identifier,Routing a packet requires the node to look up the connection id in a table.
2680,What have peridinin-type chloroplasts lost?,Peridinin is not found in any other group of chloroplasts.
525,At the time of Martin Luther what was in demand?,"Published at a time of rising demand for German-language publications, Luther's version quickly became a popular and influential Bible translation."
326,On what date was oxygen liquefied in a stable form?,"Oxygen was liquified in stable state for the first time on March 29, 1883 by Polish scientists from Jagiellonian University, Zygmunt Wróblewski and Karol Olszewski."
3489,In what month and year was the AS-258 scheduled to launch?,"In December 1966, the AS-205 mission was canceled, since the validation of the CSM would be accomplished on the 14-day first flight, and AS-205 would have been devoted to space experiments and contribute no new engineering knowledge about the spacecraft."
4543,When did the series of strikes happen?,Heath asked the British to heat only one room in their houses over the winter.
4680,Approximately how many textiles comprise the museum's collections of South and South-East Asian art?,"The Museum's collections of South and South-East Asian art are the most comprehensive and important in the West comprising nearly 60,000 objects, including about 10,000 textiles and 6000 paintings, the range of the collection is immense."
4849,In what country is Normandy located?,"The distinct cultural and ethnic identity of the Normans emerged initially in the first half of the 10th century, and it continued to evolve over the succeeding centuries."
4113,Who helped develop the first man-made self-sustaining nuclear reaction?,"Chicago's physics department helped develop the world's first man-made, self-sustaining nuclear reaction beneath the university's Stagg Field."
815,What was developed from Watt's measurements on a model steam engine?,The experimental measurements made by Watt on a model steam engine led to the development of the separate condenser.
2808,When was a study conducted of Swedish counties?,"A study of Swedish counties between 1960 and 2000 found a positive impact of inequality on growth with lead times of five years or less, but no correlation after ten years."
1047,What is another word for cryptophytes?,"Cryptophytes, or cryptomonads are a group of algae that contain a red-algal derived chloroplast."
2874,What general religious belief did the nations that received Huguenot refugees have in common?,"They also spread beyond Europe to the Dutch Cape Colony in South Africa, the Dutch East Indies, the Caribbean, and several of the English colonies of North America, and Quebec, where they were accepted and allowed to worship freely."
741,Dimensions in Time featured what prominent soap opera?,"It also featured a crossover with the soap opera EastEnders, the action taking place in the latter's Albert Square location and around Greenwich."
4835,What 1971 film was shot on location in Newcastle?,The 1971 film Get Carter was shot on location in and around Newcastle and offers an opportunity to see what Newcastle looked like in the 1960s and early 1970s.
595,When did Levi's stadium open to the public?,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium."
1730,Who became the first African Americans ordained by the Methodist Church?,"Three years later, protesting racial segregation in the worship services, Allen led most of the black members out of St. George's; eventually they founded the Mother Bethel A.M.E. Church and the African Methodist Episcopal denomination."
497,Who did Jamukha support that were not part of Temüjin's power base?,"Jamukha supported the traditional Mongolian aristocracy, while Temüjin followed a meritocratic method, and attracted a broader, though lower class, range of followers."
4546,Of what hollywood film company was UPT a subsidiary of when it merged with ABC?,"At the same time he made attempts to help grow ABC, Goldenson had been trying since mid-1953 to provide content for the network by contacting his old acquaintances in Hollywood, with whom he had worked when UPT was a subsidiary of Paramount Pictures."
411,Who was the #2 pick in the 2011 NFL Draft?,"Manning was the #1 selection of the 1998 NFL draft, while Newton was picked first in 2011."
3767,How much does the Rhine discharge at the Dutch border?,Most of Luxembourg and a very small part of Belgium also drain to the Rhine via the Moselle.
4017,When was the color crimson adopted at Harvard as official color?,"The school color is crimson, which is also the name of the Harvard sports teams and the daily newspaper, The Harvard Crimson."
796,"When was the term ""regeneration"" first used?","The actual term ""regeneration"" was not initially conceived of until the Doctor's third on-screen regeneration however; Hartnell's Doctor had merely described undergoing a ""renewal,"" and the Second Doctor underwent a ""change of appearance"".[citation needed]"
1105,How much is terra preta distributed over the Amazon forest?,"Terra preta (black earth), which is distributed over large areas in the Amazon forest, is now widely accepted as a product of indigenous soil management."
2669,Who was given land by British goovernment for development of Ohio Country?,"In 1750 Christopher Gist, acting on behalf of both Virginia and the company, explored the Ohio territory and opened negotiations with the Indian tribes at Logstown."
3469,"Which part of London was Sir Paul Pindar's house, whose façade now resides in the V&A collection, located?","The main architecture gallery has a series of pillars from various buildings and different periods, for example a column from the Alhambra."
4749,"Along with solar, coal and nuclear, what sort of plants notable use the Rankine process?","In the 1990s, Rankine steam cycles generated about 90% of all electric power used throughout the world, including virtually all solar, biomass, coal and nuclear power plants."
2417,What was used to create a new electromagnetic theory to reconcile the troubles with electromagnetic theory as it used to stand?,"Through the work of leading theoretical physicists, a new theory of electromagnetism was developed using quantum mechanics."
995,What does Salafism in its harshest form encourage its followers to view the religion of others with?,"While this effort has by no means converted all, or even most Muslims to the Wahhabist interpretation of Islam, it has done much to overwhelm more moderate local interpretations, and has set the Saudi-interpretation of Islam as the ""gold standard"" of religion in minds of some or many Muslims."
2137,What types of pumps are typically used in industrial boilers?,"Injectors became popular in the 1850s but are no longer widely used, except in applications such as steam locomotives."
4435,Who founded Telnet,It was founded by former ARPA IPTO director Larry Roberts as a means of making ARPANET technology public.
4164,"When was Apollo 6, or AS-502, tested?","Based on the good performance of Apollo 6 and identification of satisfactory fixes to the Apollo 6 problems, NASA declared the Saturn V ready to fly men, cancelling a third unmanned test."
3428,What project structures assist the owner in integration?,"Several project structures can assist the owner in this integration, including design-build, partnering and construction management."
2985,How many were in Langlades expedition?,"Langlade was given 300 men, including French-Canadians and warriors of the Ottawa."
4989,When was Luther's 95 Theses translated into German?,"Within two weeks, copies of the theses had spread throughout Germany; within two months, they had spread throughout Europe."
4231,When was the the second German empire founded?,"After Prussia unified the other states into the second German Empire after the Franco-German War, its long-time Chancellor, Otto von Bismarck (1862–90), long opposed colonial acquisitions, arguing that the burden of obtaining, maintaining, and defending such possessions would outweigh any potential benefits."
2128,What is unusual about C4 plants' chloroplasts?,Chloroplasts in C4 plants are notable as they exhibit a distinct chloroplast dimorphism.
1442,What has been getting much better in the most recent years?,"In the past, teachers have been paid relatively low salaries."
5117,In which year were Rodin's works given to the V&A?,"Rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside France; these were given to the museum by the sculptor in 1914, as acknowledgement of Britain's support of France in World War I, although the statue of St John the Baptist had been purchased in 1902 by public subscription."
2702,When did Operation Anvil open?,"The operation effectively placed Nairobi under military siege, and the occupants were screened and the Mau Mau supporters moved to detention camps."
2008,Some species of beroe have a pair of strips of adhesive cells on the stomach wall. What does it do?,"These fused bundles of several thousand large cilia are able to ""bite"" off pieces of prey that are too large to swallow whole – almost always other ctenophores."
5298,What did Tesla's design not need?,"One of the things Tesla developed at that laboratory in 1887 was an induction motor that ran on alternating current, a power system format that was starting to be built in Europe and the United States because of its advantages in long-distance, high-voltage transmission."
1353,The practice of occupying and looting Huguenot homes was called?,"Then he imposed penalties, closed Huguenot schools and excluded them from favored professions."
3306,How many Frenchman won Battle of Carillon?,"Abercrombie saved something from the disaster when he sent John Bradstreet on an expedition that successfully destroyed Fort Frontenac, including caches of supplies destined for New France's western forts and furs destined for Europe."
4660,When was Scotland invaded by William?,"King Malcolm III of Scotland married Edgar's sister Margaret, and came into opposition to William who had already disputed Scotland's southern borders."
2245,What other Northern European cities had Huguenot congregations?,The Berlin Huguenots preserved the French language in their church services for nearly a century.
4729,One strategy of Islamization is to seize power by what methods?,"The movements have ""arguably altered the Middle East more than any trend since the modern states gained independence"", redefining ""politics and even borders"" according to one journalist (Robin Wright)."
4445,What was the name of the leader ennobled by Henry III,"The Drengot family thereafter attained the principality of Capua, and emperor Henry III legally ennobled the Hauteville leader, Drogo, as ""dux et magister Italiae comesque Normannorum totius Apuliae et Calabriae"""
5377,The point at which different radiometric isotopes stop diffusing into and out of the crystal lattice is called what?,"For many geologic applications, isotope ratios of radioactive elements are measured in minerals that give the amount of time that has passed since a rock passed through its particular closure temperature, the point at which different radiometric isotopes stop diffusing into and out of the crystal lattice."
2854,Which NFL team represented the NFC at Super Bowl 50?,The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.
161,In which year are the Meissen Vulture in the V&A collection dated?,"Among the finest examples are the Meissen Vulture from 1731 and the Möllendorff Dinner Service, designed in 1762 by Frederick II the Great."
4594,Which part of China had people ranked higher in the class system?,The Northern Chinese were ranked higher and Southern Chinese were ranked lower because southern China withstood and fought to the last before caving in.
1687,What percent live below the povertly line?,"Poor roads, an inadequate railway network, under-used water transport and expensive air transport have isolated mostly arid and semi-arid areas and farmers in other regions often leave food to rot in the fields because they cannot access markets."
1770,What is the Rhine called in Dutch?,"The spelling with Rh- in English Rhine as well as in German Rhein and French Rhin is due to the influence of Greek orthography, while the vocalisation -i- is due to the Proto-Germanic adoption of the Gaulish name as *Rīnaz, via Old Frankish giving Old English Rín, Old High German Rīn, Dutch Rijn (formerly also spelled Rhijn))."
3078,Why did Westinghouse not secure a patent for a similar motor?,Engineers working for the Westinghouse Electric & Manufacturing Company reported to George Westinghouse that Tesla had a viable AC motor and related power system — something for which Westinghouse had been trying to secure patents.
845,What is the United States at risk for because of the recession of 2008?,"In 2014, economists with the Standard & Poor's rating agency concluded that the widening disparity between the U.S.'s wealthiest citizens and the rest of the nation had slowed its recovery from the 2008-2009 recession and made it more prone to boom-and-bust cycles."
1398,To what century did the idea of ether belong?,"Tesla exhibited a pre-atomic understanding of physics in his writings; he disagreed with the theory of atoms being composed of smaller subatomic particles, stating there was no such thing as an electron creating an electric charge (he believed that if electrons existed at all, they were some fourth state of matter or ""sub-atom"" that could only exist in an experimental vacuum and that they had nothing to do with electricity).:249 Tesla believed that atoms are immutable—they could not change state or be split in any way."
1354,Why did he want to make the language accessible to people?,"He intended his vigorous, direct language to make the Bible accessible to everyday Germans, ""for we are removing impediments and difficulties so that other people may read it without hindrance."""
2742,Which church's saint is nicknamed The Martyr?,Another prominent church in the city centre is the Church of St Thomas the Martyr which is the only parish church in the Church of England without a parish and which is not a peculiar.
1500,Which Carolina Panthers wide receiver suffered a torn ACL before the season began?,"Carolina started the season 14–0, not only setting franchise records for the best start and the longest single-season winning streak, but also posting the best start to a season by an NFC team in NFL history, breaking the 13–0 record previously shared with the 2009 New Orleans Saints and the 2011 Green Bay Packers."
2037,What pope as a native of Poland?,John Paul II's visits to his native country in 1979 and 1983 brought support to the budding solidarity movement and encouraged the growing anti-communist fervor there.
2360,What percentage of Victorians are Christian?,"Victoria is also home of 152,775 Muslims and 45,150 Jews."
4677,What makes plants green?,"All green parts of a plant contain chloroplasts—the chloroplasts, or more specifically, the chlorophyll in them are what make the photosynthetic parts of a plant green."
2050,How old was Manning at the beginning of the 2015 season?,"He set the NFL's all-time record for career passing yards in this game, but was benched after throwing four interceptions in favor of backup quarterback Brock Osweiler, who took over as the starter for most of the remainder of the regular season."
1962,Does BSkyB carry any control over the picture quality of a channel?,"BSkyB has no veto over the presence of channels on their EPG, with open access being an enforced part of their operating licence from Ofcom."
1718,What is necessary to disobey?,"It is usually recognized that lawbreaking, if it is not done publicly, at least must be publicly announced in order to constitute civil disobedience."
1740,Issues dealt with at Westminster are not ones who is able to deal with?,"The Scottish Parliament is unable to legislate on such issues that are reserved to, and dealt with at, Westminster (and where Ministerial functions usually lie with UK Government ministers)."
2670,Who worked later on to find these missing magnetic tapes that had data stored on them?,"During the following years, a magnetic tape shortage prompted NASA to remove massive numbers of magnetic tapes from the National Archives and Records Administration to be recorded over with newer satellite data."
3159,What is the present-day location of this church?,"The French added to the existing immigrant population, then comprising about a third of the population of the city."
1790,What interfered with Kublai's second invasion of Japan?,Professor Liam Kelley noted that people from Song dynasty China like Zhao Zhong and Xu Zongdao fled to Tran dynasty ruled Vietnam after the Mongol invasion of the Song and they helped the Tran fight against the Mongol invasion.
4420,Where did one of Triton's daughters decide she wanted to hang out and stay?,"She stopped to rest on a sandy beach by the village of Warszowa, where fishermen came to admire her beauty and listen to her beautiful voice."
159,The academic body of the university is made up of how many professional schools?,The university is accredited by The Higher Learning Commission.
4760,Which uses of sculpture are represented in the collection?,"All uses of sculpture are represented, from tomb and memorial, to portrait, allegorical, religious, mythical, statues for gardens including fountains, as well as architectural decorations."
4608,To where were the belongings taken?,Tesla's entire estate from the Hotel New Yorker and other New York City hotels was transported to the Manhattan Storage and Warehouse Company under the Office of Alien Property (OAP) seal.
4440,What was the hymn based on?,"Nun komm, der Heiden Heiland"" (Now come, Savior of the gentiles), based on Veni redemptor gentium, became the main hymn (Hauptlied) for Advent."
4484,When did Pope Leo X  excommunicate Luther?,"As a consequence, Luther was excommunicated by Pope Leo X on 3 January 1521, in the bull Decet Romanum Pontificem."
1757,Who was named the president and CEO of ABC after Goldenson suffered a heart attack?,"In April 1970, Congress passed the Public Health Cigarette Smoking Act which banned cigarette advertising from all television and radio networks, including ABC, when it took effect on January 2, 1971."
465,What have the Dinophysis chloroplasts lost?,"Cryptophyte chloroplasts require their nucleomorph to maintain themselves, and Dinophysis species grown in cell culture alone cannot survive, so it is possible (but not confirmed) that the Dinophysis chloroplast is a kleptoplast"
1900,Where were ABC's international networks mainly situated in the 1970s?,The arrival of satellite television ended the need for ABC to hold interests in other countries; many governments also wanted to increase their independence and strengthen legislation to limit foreign ownership of broadcasting properties.
3382,At the time of Martin Luther what was in demand?,"Furnished with notes and prefaces by Luther, and with woodcuts by Lucas Cranach that contained anti-papal imagery, it played a major role in the spread of Luther's doctrine throughout Germany."
3328,What type of technology is the non organic separating of gases?,Oxygen gas is increasingly obtained by these non-cryogenic technologies (see also the related vacuum swing adsorption).
1422,What French City was New Rochelle named after?,"Paul's Episcopal Church, which contains heirlooms including the original bell from the French Huguenot Church ""Eglise du St. Esperit"" on Pine Street in New York City, which is preserved as a relic in the tower room."
3625,In what year did the FCC publish it's report?,"In 1938, the FCC began a series of investigations into the practices of radio networks and published its report on the broadcasting of network radio programs in 1940."
639,Who notably improved the Savery water pump?,"It used condensing steam to create a vacuum which was used to raise water from below, then it used steam pressure to raise it higher."
5170,What is used to quantify the intuitive undestanding of forces?,"As with other physical concepts (e.g. temperature), the intuitive understanding of forces is quantified using precise operational definitions that are consistent with direct observations and compared to a standard measurement scale."
4193,When was the Disney and ABC merger first announced?,"Around the time of the merger, Disney's television production units had already produced series for the network such as Home Improvement and Boy Meets World, while the deal also allowed ABC access to Disney's children's programming library for its Saturday morning block."
3215,Some people describe what between individuals or groups as imperialism or colonialism?,Some have described the internal strife between various people groups as a form of imperialism or colonialism.
4074,What purpose would Luther have in not wanting to ban the Qur'an?,"He opposed banning the publication of the Qur'an, wanting it exposed to scrutiny."
3025,Who broadcast the Super Bowl on TV?,"The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively."
2559,What system did Tesla recommend to Niagara Falls in 1893?,"In 1893 Richard Dean Adams, who headed up the Niagara Falls Cataract Construction Company sought Tesla's opinion on what system would be best to transmit power generated at the falls."
2177,What festival takes place in April in Newcastle?,"The Newcastle Beer Festival, organized by CAMRA, takes place in April."
254,How large can ctenophora grow?,Their most distinctive feature is the ‘combs’ – groups of cilia which they use for swimming – they are the largest animals that swim by means of cilia.
2224,What group is Newcastle native Andy Taylor the former lead guitarist of?,Brian Johnson was a member of local rock band Geordie before becoming the lead vocalist of AC/DC.
1767,When did the accident occur?,Tesla's back was severely wrenched and three of his ribs were broken in the accident (the full extent of his injuries will never be known; Tesla refused to consult a doctor—an almost lifelong custom).
4679,How thick are chloroplasts in land plants?,"Some algae have two chloroplasts in each cell; they are star-shaped in Zygnema, or may follow the shape of half the cell in order Desmidiales."
359,Who played the Master in the 1996 TV movie?,"The Master returned in the 1996 television movie of Doctor Who, and was played by American actor Eric Roberts."
831,Which c1622-23 sculpture by Bernini are included in the sculpture collection?,"Italian sculptors whose work is held by the museum include: Bartolomeo Bon, Bartolomeo Bellano, Luca della Robbia, Giovanni Pisano, Donatello, Agostino di Duccio, Andrea Riccio, Antonio Rossellino, Andrea del Verrocchio, Antonio Lombardo, Pier Jacopo Alari Bonacolsi, Andrea della Robbia, Michelozzo di Bartolomeo, Michelangelo (represented by a freehand wax model and casts of his most famous sculptures), Jacopo Sansovino, Alessandro Algardi, Antonio Calcagni, Benvenuto Cellini (Medusa's head dated c. 1547), Agostino Busti, Bartolomeo Ammannati, Giacomo della Porta, Giambologna (Samson Slaying a Philistine (Giambologna) c. 1562, his finest work outside Italy), Bernini (Neptune and Triton c. 1622–3), Giovanni Battista Foggini, Vincenzo Foggini (Samson and the Philistines), Massimiliano Soldani Benzi, Antonio Corradini, Andrea Brustolon, Giovanni Battista Piranesi, Innocenzo Spinazzi, Canova, Carlo Marochetti and Raffaelle Monti."
4934,"What year did a Super Bowl play in the bay area around San Francisco, prior to Super Bowl 50?","On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium."
3224,"Besides Africa, where did Germany have imperial interests?","However, in 1883–84 Germany began to build a colonial empire in Africa and the South Pacific, before losing interest in imperialism."
3646,Who was Kennedy's vice president?,"On April 20, Kennedy sent a memo to Vice President Lyndon B. Johnson, asking Johnson to look into the status of America's space program, and into programs that could offer NASA the opportunity to catch up."
5322,What reason is given that you should also protest public companies?,"The same principle, she argues, applies to breaches of law in protest against international organizations and foreign governments."
365,Gosforth and Byker are the largest shopping areas of what type?,"Outside the city centre, the largest suburban shopping areas are Gosforth and Byker."
2931,When was free primary school introduced?,"In 2007 the government issued a statement declaring that from 2008, secondary education would be heavily subsidiszed, with the government footing all tuition fees."
3795,What is used to estimate emissions?,"This involves publishing default emission factors, which are factors used to derive emissions estimates based on the levels of fuel consumption, industrial production and so on."
3806,What is the English translation of Het Scheur?,"The shape of the Rhine delta is determined by two bifurcations: first, at Millingen aan de Rijn, the Rhine splits into Waal and Pannerdens Kanaal, which changes its name to Nederrijn at Angeren, and second near Arnhem, the IJssel branches off from the Nederrijn."
3801,"In the encoding of mathematical objects, what is the way in which integers are commonly expressed?","As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded."
2815,What ideal thermodynamic cycle analyzes the process by which steam engines work?,"Steam engines are external combustion engines, where the working fluid is separate from the combustion products. Non-combustion heat sources such as solar power, nuclear power or geothermal energy may be used."
1864,Where do most teachers get their credentials from?,"Teachers, like other professionals, may have to continue their education after they qualify, a process known as continuing professional development."
2121,Whose thesis states that the solution to a problem is solvable with reasonable resources assuming it allows for a polynomial time algorithm?,"If T(n) is a polynomial in n, then the algorithm is said to be a polynomial time algorithm."
4521,In contrast how were Catholic saints portrayed?,His large body also let the viewer know that he did not shun earthly pleasures like drinking—behavior that was a stark contrast to the ascetic life of the medieval religious orders.
5443,What is a connection identifier,The packets include a connection identifier rather than address information and are negotiated between endpoints so that they are delivered in order and with error checking.
3578,When was Sky Digital launched?,"When Sky Digital was launched in 1998 the new service used the Astra 2A satellite which was located at the 28.5°E orbital position, unlike the analogue service which was broadcast from 19.2°"
229,What is a PPP also known as?,There is also a growing number of new forms of procurement that involve relationship contracting where the emphasis is on a co-operative relationship between the principal and contractor and other stakeholders within a construction project.
